f1,f2,f3,f4,label
0.5517,-1.1435,0.0275,-0.0282,-1.51851
0.5738,-0.8492,0.058,-0.0286,-1.79934
0.5938,-1.1431,0.0378,-0.0321,-2.16435
0.5938,-1.139,0.039,-0.0282,-2.22011
0.5873,-1.0364,0.0478,-0.0282,-2.19312
0.5593,-1.2273,0.0255,-0.0155,-1.5563
0.5806,-1.2164,0.0278,-0.0285,-2.51322
0.6,-1.1742,0.0253,-0.032,-2.11727
0.6,-1.119,0.0301,-0.028,-2.32428
0.5938,-1.1041,0.0243,-0.0221,-1.85733
0.5517,-1.4752,0.027,-0.0153,-1.59106
0.5738,-1.4687,0.0367,-0.0285,-2.18469
0.5938,-1.4662,0.0381,-0.032,-3.00432
0.5938,-1.4571,0.0378,-0.0279,-3.07555
0.5873,-1.3479,0.0589,-0.022,-2.46835
0.5593,-1.4041,0.0269,-0.0153,-1.74819
0.5806,-1.3941,0.0371,-0.0285,-2.70329
0.6,-1.3906,0.0381,-0.032,-2.82086
0.6,-1.3868,0.038,-0.0279,-2.96708
0.5938,-1.2897,0.0569,-0.022,-2.77012
0.5273,-1.3151,0.0282,-0.0153,-1.80618
0.5517,-1.3097,0.0381,-0.0285,-2.55267
0.5738,-1.3085,0.0382,-0.032,-2.4133
0.5738,-1.3046,0.0415,-0.0279,-2.81224
0.5667,-1.2032,0.0596,-0.022,-2.79934
0.5273,-1.2539,0.0291,-0.0154,-1.04139
0.5517,-1.2517,0.0388,-0.0285,-1.99564
0.5738,-1.2493,0.0385,-0.032,-2.26482
0.5738,-1.2423,0.0411,-0.028,-2.36173
0.5667,-1.1854,0.0621,-0.0221,-2.16732
0.5517,-1.3999,0.0743,-0.0139,-2.36361
0.5517,-1.3062,0.045,-0.0139,-1.88649
0.5424,-1.296,0.0502,-0.0139,-1.85126
0.5517,-1.2975,0.0544,-0.0139,-1.62325
0.5593,-1.2431,0.0225,-0.0139,-1.96379
0.5738,-1.3007,0.0422,-0.0139,-2.29003
0.5806,-1.2633,0.0208,-0.0147,-1.82607
0.5179,-1.0725,0.0329,-0.0278,-1.07918
0.5263,-1.1283,0.0291,-0.014,-0.90309
0.5179,-1.3762,0.0355,-0.0138,-1.54407
0.5263,-1.2496,0.0442,-0.0138,-1.11394
0.4906,-1.0835,0.0401,-0.0139,-0.77815
0.5091,-1.0257,0.027,-0.0276,-0.8451
0.5179,-1.1005,0.0276,-0.014,-0.69897
0.5179,-1.4277,0.0247,-0.0138,-1.60206
0.4808,-1.1025,0.031,-0.0139,-0.77815
0.4808,-1.1487,0.0291,-0.0137,-0.8451
0.4808,-1.3297,0.0258,-0.0129,-0.95424
