f1,f2,f3,f4,label
21.8563,13.1173,1.0565,0.5517,-1.51851
22.8204,13.1739,1.0433,0.5738,-1.79934
23.7866,12.5984,1.0501,0.5938,-2.16435
23.7866,12.6066,1.0498,0.5938,-2.22011
22.4331,11.4281,1.05,0.5873,-2.19312
22.7818,13.1275,1.0546,0.5593,-1.5563
23.748,12.7744,1.0515,0.5806,-2.51322
24.716,12.5971,1.0358,0.6,-2.11727
24.716,12.5926,1.0484,0.6,-2.32428
23.3469,11.4261,1.0487,0.5938,-1.85733
24.5513,13.0821,1.0545,0.5517,-1.59106
25.5208,12.7776,1.0514,0.5738,-2.18469
26.4918,12.5972,1.0485,0.5938,-3.00432
26.4918,12.6157,1.0482,0.5938,-3.07555
25.0952,11.4178,1.0485,0.5873,-2.46835
25.4819,13.1184,1.0531,0.5593,-1.74819
26.453,12.7761,1.05,0.5806,-2.70329
27.4255,12.5976,1.0472,0.6,-2.82086
27.4255,12.6141,1.0469,0.6,-2.96708
26.0153,11.4236,1.0472,0.5938,-2.77012
21.7889,13.1855,1.0447,0.5273,-1.80618
22.7529,12.7828,1.0419,0.5517,-2.55267
23.7189,12.6045,1.0393,0.5738,-2.4133
23.7189,12.6065,1.039,0.5738,-2.81224
22.3666,11.4226,1.053,0.5667,-2.79934
22.1357,13.1831,1.0449,0.5273,-1.04139
23.1004,12.7821,1.0421,0.5517,-1.99564
24.0672,12.6023,1.0396,0.5738,-2.26482
24.0672,12.6085,1.0392,0.5738,-2.36173
22.7089,11.4379,1.0532,0.5667,-2.16732
25.8022,12.1695,1.0401,0.5517,-2.36361
23.9995,12.4316,1.0415,0.5517,-1.88649
24.5416,12.468,1.0832,0.5424,-1.85126
24.3479,12.7636,1.0416,0.5517,-1.62325
24.0285,12.471,1.0416,0.5593,-1.96379
25.317,12.6023,1.039,0.5738,-2.29003
24.997,12.5292,1.039,0.5806,-1.82607
21.5771,13.6741,1.0719,0.5179,-1.07918
22.502,13.9621,1.0699,0.5263,-0.90309
24.2705,13.1831,1.0703,0.5179,-1.54407
25.2006,14.0246,1.0682,0.5263,-1.11394
21.8563,14.05,1.0771,0.4906,-0.77815
21.5386,13.6701,1.0776,0.5091,-0.8451
22.4634,14.1229,1.0751,0.5179,-0.69897
25.1618,14.1347,1.0724,0.5179,-1.60206
21.8178,14.1838,1.0823,0.4808,-0.77815
21.4712,14.1766,1.0818,0.4808,-0.8451
22.367,14.1319,1.0975,0.4808,-0.95424
